order_id,order_date,customer_name,city,state,product,category,quantity,price,discount,total_amount,payment_method,sales_person
ORD-0000001,2025-01-03,Jennifer Gonzalez,East Melanieberg,Wyoming,Office Chair,Furniture,2,39520.16,16.06,66346.44,Debit Card,Jesse Grimes
ORD-0000002,2025-01-17,Catherine Travis,Robinside,Kansas,Dress,Clothing,3,14963.88,21.9,35060.37,Debit Card,Jesse Grimes
ORD-0000003,2025-10-11,Christopher Jackson,Lake Cynthia,Louisiana,Dining Table,Furniture,4,23183.46,14.98,78842.31,Debit Card,Marie Jackson
ORD-0000004,2025-08-03,David Robles,Justinside,Connecticut,Smartphone,Electronics,4,21860.46,4.72,83314.59,Credit Card,Heather Smith
ORD-0000005,2024-02-25,Ashley Rodriguez,New Shaunhaven,Kansas,Basketball Shoes,Sports,4,2562.11,12.79,8937.66,Debit Card,Darrell Armstrong
ORD-0000006,2025-10-10,Teresa Harris,West Dominiquefort,Texas,Yoga Mat,Sports,9,18343.0,5.25,156419.93,Cash,Steven Miller
ORD-0000007,2025-04-08,John Thomas,West Philip,Texas,Office Chair,Furniture,4,10618.15,24.31,32147.51,Credit Card,Sherry Stephens
ORD-0000008,2025-06-23,Andrea Anderson DDS,Harrisland,Tennessee,Basketball Shoes,Sports,5,31543.95,10.72,140812.19,Cash,Rachel Allen DDS
ORD-0000009,2024-07-29,Lindsey Mack,North Timothy,Illinois,Laptop,Electronics,3,49772.52,0.08,149198.11,Cash,Marie Jackson
ORD-0000010,2024-10-11,Michael Owens,Port Curtis,Mississippi,Dress,Clothing,9,26541.96,21.33,187925.04,Cash,Bryan Williams
ORD-0000011,2024-10-27,Brian Adams Jr.,Lake Katelynside,Vermont,Fitness Tracker,Sports,6,22462.57,18.23,110205.86,Mobile Pay,Rachel Allen DDS
ORD-0000012,2025-09-06,Tonya Mahoney,Lake Randy,Washington,Dining Table,Furniture,1,19868.39,11.23,17637.17,Cash,Bryan Williams
ORD-0000013,2024-07-02,Sara Johnson,Davidberg,Ohio,Snack Pack,Grocery,10,7286.36,15.4,61642.61,Mobile Pay,Shawn Cunningham
ORD-0000014,2024-04-12,Angela White,Anthonyton,Maryland,Camera,Electronics,1,1403.98,20.94,1109.99,Cash,Heather Smith
ORD-0000015,2024-04-15,Patricia Hall,North Eric,Alaska,Sneakers,Clothing,10,13790.35,21.74,107923.28,Net Banking,Bryan Williams
ORD-0000016,2024-03-03,Robert Castro,East Sarah,Pennsylvania,Fitness Tracker,Sports,6,11154.62,5.1,63514.41,Cash,Steven Miller
ORD-0000017,2024-11-17,Jennifer Humphrey,West Michelle,Tennessee,Snack Pack,Grocery,8,12430.59,6.35,93129.98,Net Banking,Sean Cervantes
ORD-0000018,2024-08-01,Stacy Ayala,Snyderville,South Carolina,Tablet,Electronics,3,15524.57,2.3,45502.51,Debit Card,Darrell Armstrong
ORD-0000019,2024-04-15,Jennifer Bryant,Keithton,Indiana,Sweater,Clothing,1,35106.47,24.32,26568.58,Mobile Pay,Shawn Cunningham
ORD-0000020,2025-10-01,Michael Gibbs,Benjaminland,Hawaii,Football,Sports,10,16925.17,25.72,125720.16,Debit Card,Darrell Armstrong
ORD-0000021,2025-10-04,Thomas Morrison,South Maryfort,Wyoming,Football,Sports,9,47888.45,18.56,351003.18,Debit Card,Jesse Grimes
ORD-0000022,2025-12-23,Kristy Alexander,Port Michelle,North Carolina,Gaming Console,Electronics,9,21874.23,24.03,149560.67,Net Banking,Marie Jackson
ORD-0000023,2024-03-22,Julie Small MD,Smithland,Alaska,Football,Sports,10,18753.27,18.92,152051.51,Cash,Sherry Stephens
ORD-0000024,2024-06-11,Patricia Abbott,Smithport,Ohio,Olive Oil,Grocery,1,9019.96,17.76,7418.02,Debit Card,Sherry Stephens
ORD-0000025,2024-11-13,Allen Nielsen,Soliston,California,T-Shirt,Clothing,1,12297.08,21.57,9644.6,Mobile Pay,Bryan Williams
ORD-0000026,2025-05-14,Jason Jones,Dennisside,Oklahoma,Organic Milk,Grocery,10,24163.84,16.22,202444.65,Cash,Marie Jackson
ORD-0000027,2024-07-13,Michelle Thompson,North Anneton,Michigan,Dining Table,Furniture,4,16685.11,21.46,52417.94,Cash,Bryan Williams
ORD-0000028,2025-05-14,Michael Bartlett,Port Jason,Kentucky,Wireless Earbuds,Electronics,6,38787.09,7.32,215687.25,Mobile Pay,Bryan Williams
ORD-0000029,2024-08-26,Kimberly Elliott,Masonfurt,New Jersey,Snack Pack,Grocery,8,35961.57,27.07,209814.18,Debit Card,Shawn Cunningham
ORD-0000030,2024-03-12,Cindy Martinez,Gonzalezstad,Kentucky,Smartphone,Electronics,2,45076.98,28.78,64207.65,Cash,Steven Miller
ORD-0000031,2025-07-05,Michael Lucero,North Amanda,Wisconsin,T-Shirt,Clothing,4,12278.88,24.69,36988.9,Mobile Pay,Bryan Williams
ORD-0000032,2025-11-27,Cynthia Caldwell,Thomasfort,Kansas,Smart TV,Electronics,1,580.04,1.04,574.01,Mobile Pay,Heather Smith
ORD-0000033,2025-10-26,Dillon Hatfield,West Joshuafort,Colorado,Tennis Racket,Sports,2,16568.63,22.87,25558.77,Credit Card,Sean Cervantes
ORD-0000034,2025-05-17,Dr. Katelyn Jackson,Tuckerport,Montana,Office Chair,Furniture,3,15269.59,29.91,32107.37,Credit Card,Darrell Armstrong
ORD-0000035,2025-05-16,Ashley Burke,Humphreyberg,South Dakota,T-Shirt,Clothing,4,36800.08,1.9,144403.51,Mobile Pay,Sherry Stephens
ORD-0000036,2024-02-15,Kristen Rivera DDS,Murrayfort,Michigan,Jacket,Clothing,2,40782.87,16.38,68205.27,Mobile Pay,Sherry Stephens
ORD-0000037,2024-12-25,Francisco West,Port Stephanieton,Missouri,Office Chair,Furniture,7,29274.0,28.49,146536.86,Credit Card,Darrell Armstrong
ORD-0000038,2025-10-27,Lance Wilson,Natalieton,Nevada,Basketball Shoes,Sports,4,25326.62,6.47,94751.95,Mobile Pay,Katie Cervantes
ORD-0000039,2025-06-15,Mrs. Lori Murphy,New Tanyaburgh,North Carolina,Jacket,Clothing,3,21687.01,23.64,49680.6,Debit Card,Angelica Garcia
ORD-0000040,2024-02-22,Stephen Curtis,South Kristiview,Maryland,Sneakers,Clothing,3,14003.36,7.5,38859.32,Cash,Steven Miller
ORD-0000041,2024-06-13,Anthony Price,Haleview,Massachusetts,Dining Table,Furniture,5,16920.36,3.5,81640.74,Cash,Darrell Armstrong
ORD-0000042,2024-05-24,Christopher Thompson,New Alexandrafurt,Wyoming,Sweater,Clothing,6,6655.8,1.47,39347.76,Cash,Rachel Allen DDS
ORD-0000043,2024-08-22,John Jackson,North Jon,Tennessee,Snack Pack,Grocery,6,17829.22,11.49,94683.86,Cash,Sean Cervantes
ORD-0000044,2025-11-20,Monica Hoover,New Barbara,Nevada,Sofa,Furniture,3,7874.3,1.72,23216.59,Debit Card,Marie Jackson
ORD-0000045,2024-07-14,Sarah Valenzuela,Youngmouth,Rhode Island,Smart TV,Electronics,1,31835.45,27.93,22943.81,Net Banking,Marie Jackson
ORD-0000046,2024-06-06,April Mcclure,Hebertfort,Maryland,Office Chair,Furniture,7,27105.45,27.64,137294.53,Credit Card,Angelica Garcia
ORD-0000047,2025-12-08,Abigail Jensen,East Patricia,Mississippi,Laptop,Electronics,10,40257.2,29.15,285222.26,Cash,Katie Cervantes
ORD-0000048,2024-10-08,Dr. Allen Miller,New Kari,Minnesota,T-Shirt,Clothing,5,38164.32,9.16,173342.34,Credit Card,Katie Cervantes
ORD-0000049,2025-02-11,Melissa Figueroa,South Adam,Oregon,Canned Beans,Grocery,5,11427.53,11.53,50549.68,Debit Card,Sean Cervantes
ORD-0000050,2025-10-14,Jennifer Rogers,New John,Maine,Yoga Mat,Sports,3,5281.53,12.95,13792.72,Mobile Pay,Bryan Williams
ORD-0000051,2025-05-27,Anthony Hicks,Martinezview,New Mexico,Jeans,Clothing,9,11583.76,10.8,92994.43,Net Banking,Steven Miller
ORD-0000052,2025-04-25,David Johnson,Brendaton,Maine,Sofa,Furniture,5,16186.86,4.38,77389.38,Net Banking,Shawn Cunningham
ORD-0000053,2024-06-07,Richard Cohen,Sonyachester,Pennsylvania,Sofa,Furniture,2,42704.86,13.6,73794.0,Mobile Pay,Steven Miller
ORD-0000054,2024-04-10,Timothy Liu,South Christine,Utah,Gaming Console,Electronics,7,13194.46,16.85,76798.35,Net Banking,Steven Miller
ORD-0000055,2024-12-30,Dale Cook,Michaelburgh,Idaho,Dress,Clothing,5,31980.64,3.08,154978.18,Credit Card,Shawn Cunningham
ORD-0000056,2024-02-18,Anthony Hansen,Carrhaven,Florida,Snack Pack,Grocery,8,17418.49,21.24,109750.42,Mobile Pay,Katie Cervantes
ORD-0000057,2024-09-24,Tyler Garcia,Hancockville,Iowa,Bed Frame,Furniture,5,1129.29,12.3,4951.94,Credit Card,Rachel Allen DDS
ORD-0000058,2025-03-10,Carolyn Hughes,East Nancy,Hawaii,Basketball Shoes,Sports,9,49523.25,8.78,406575.98,Cash,Darrell Armstrong
ORD-0000059,2024-04-06,Christine Hall,Waltonland,North Carolina,Sweater,Clothing,6,17175.1,1.03,101989.18,Net Banking,Katie Cervantes
ORD-0000060,2024-12-08,Kimberly Johnson,New Patrickmouth,New Mexico,Wireless Earbuds,Electronics,5,46567.18,29.79,163474.09,Mobile Pay,Steven Miller
ORD-0000061,2024-09-07,Jennifer Watkins,Marcbury,Ohio,Organic Milk,Grocery,9,40065.74,18.38,294314.91,Credit Card,Darrell Armstrong
ORD-0000062,2025-09-08,Sophia Scott,Josephville,Louisiana,Smart TV,Electronics,6,18188.87,25.62,81173.29,Credit Card,Sherry Stephens
ORD-0000063,2024-08-02,Amanda Johnston,Ingramton,Arizona,Tennis Racket,Sports,9,37407.84,4.88,320241.04,Credit Card,Sean Cervantes
ORD-0000064,2025-05-28,Stephen Alexander,Johnsonstad,Tennessee,Olive Oil,Grocery,9,779.03,22.76,5415.5,Net Banking,Jesse Grimes
ORD-0000065,2025-03-09,Logan Perry,Jamesville,New Mexico,T-Shirt,Clothing,1,46623.3,26.64,34202.85,Cash,Heather Smith
ORD-0000066,2025-05-12,Stephanie Woodward,Perezfurt,Pennsylvania,Dress,Clothing,6,33295.55,23.34,153146.21,Cash,Katie Cervantes
ORD-0000067,2025-04-04,Sylvia Gonzalez,Wuland,New Mexico,Bed Frame,Furniture,2,8969.35,25.22,13414.56,Mobile Pay,Darrell Armstrong
ORD-0000068,2025-01-20,Kimberly Mckay,East George,Rhode Island,Fitness Tracker,Sports,8,48836.64,11.1,347326.18,Net Banking,Marie Jackson
ORD-0000069,2024-12-06,Chad Smith,Dylanstad,Virginia,T-Shirt,Clothing,5,47155.73,2.43,230049.23,Cash,Darrell Armstrong
ORD-0000070,2024-03-03,Chad Rowland,New Stephen,Massachusetts,Yoga Mat,Sports,7,40630.37,6.83,264987.21,Debit Card,Angelica Garcia
ORD-0000071,2025-09-05,Elizabeth Weaver,North Elizabethberg,California,Snack Pack,Grocery,1,44767.96,14.09,38460.15,Credit Card,Jesse Grimes
ORD-0000072,2025-03-02,Adrian Johnson,New Patrickbury,Montana,Yoga Mat,Sports,10,46752.59,15.87,393329.54,Cash,Angelica Garcia
ORD-0000073,2025-11-27,Justin Burgess,Bryanstad,Idaho,Cereal Box,Grocery,7,37648.05,21.14,207824.77,Net Banking,Heather Smith
ORD-0000074,2025-09-27,Mrs. Amanda Anderson,Banksberg,Vermont,Cereal Box,Grocery,2,27587.8,13.8,47561.37,Mobile Pay,Rachel Allen DDS
ORD-0000075,2024-04-02,Dylan Morton,Port Katieview,New Jersey,Smart TV,Electronics,3,27841.92,27.2,60806.75,Credit Card,Sherry Stephens
ORD-0000076,2025-11-18,Natalie Novak,Shawnside,Nevada,Tennis Racket,Sports,3,18483.36,5.32,52500.14,Credit Card,Katie Cervantes
ORD-0000077,2025-09-20,Janice Frazier,East Denise,Wyoming,Gaming Console,Electronics,2,10199.3,13.16,17714.14,Mobile Pay,Heather Smith
ORD-0000078,2024-04-17,Andrea Patel,Adamsport,Indiana,Football,Sports,6,40291.32,20.87,191295.13,Net Banking,Jesse Grimes
ORD-0000079,2024-03-11,Mr. Antonio Holden,South Hannahton,Indiana,Jeans,Clothing,9,946.46,9.25,7730.21,Mobile Pay,Angelica Garcia
ORD-0000080,2025-01-12,Anthony Edwards,Whitemouth,Kentucky,Smartphone,Electronics,3,1936.09,27.09,4234.81,Net Banking,Bryan Williams
ORD-0000081,2024-09-12,Penny Smith,North Leroymouth,Virginia,Bed Frame,Furniture,6,22114.59,5.29,125668.37,Cash,Sherry Stephens
ORD-0000082,2024-12-06,Peggy Hart,Thomasfort,West Virginia,Wireless Earbuds,Electronics,1,20952.23,14.2,17977.01,Credit Card,Darrell Armstrong
ORD-0000083,2025-04-01,Cory Romero,Brandonmouth,Nevada,Sofa,Furniture,2,12858.47,16.19,21553.37,Debit Card,Shawn Cunningham
ORD-0000084,2025-06-26,Paul Merritt,Pierceshire,Alabama,Basketball Shoes,Sports,2,40280.33,27.1,58728.72,Cash,Rachel Allen DDS
ORD-0000085,2025-01-17,Jacob Ball,Christopherton,Utah,Yoga Mat,Sports,10,23531.69,24.68,177240.69,Cash,Sean Cervantes
ORD-0000086,2024-02-26,Nathan Hill,New Meganport,Illinois,Bed Frame,Furniture,1,32035.04,3.18,31016.33,Credit Card,Jesse Grimes
ORD-0000087,2024-10-20,Tyler Lane,Garciaton,New York,Sofa,Furniture,7,5355.78,24.66,28245.31,Cash,Rachel Allen DDS
ORD-0000088,2024-07-22,Anthony Burns,South Leslieville,Connecticut,Tablet,Electronics,5,36115.63,19.4,145545.99,Cash,Sherry Stephens
ORD-0000089,2025-06-26,Matthew Watson,Hickmanberg,Alaska,Sneakers,Clothing,9,27789.15,27.49,181349.21,Mobile Pay,Bryan Williams
ORD-0000090,2024-05-04,Brenda Medina,Heathermouth,Michigan,Cereal Box,Grocery,5,17576.27,16.46,73416.08,Mobile Pay,Shawn Cunningham
ORD-0000091,2024-01-19,Thomas Bennett,Priceburgh,West Virginia,Camera,Electronics,2,6133.45,2.9,11911.16,Debit Card,Marie Jackson
ORD-0000092,2024-01-29,Colin Macdonald,Evantown,California,Jacket,Clothing,6,23938.03,24.24,108812.71,Mobile Pay,Steven Miller
ORD-0000093,2025-01-06,Jill Johnson,East April,Michigan,Office Chair,Furniture,7,32173.1,19.23,181903.49,Net Banking,Steven Miller
ORD-0000094,2025-11-03,Elizabeth Cochran,Port Jerry,Delaware,Fitness Tracker,Sports,7,31756.2,6.97,206799.55,Credit Card,Rachel Allen DDS
ORD-0000095,2024-07-24,Jennifer Crosby,North Leonard,Florida,Canned Beans,Grocery,9,11530.6,17.99,85106.21,Net Banking,Steven Miller
ORD-0000096,2024-08-29,Mary King,Lake Joseph,Ohio,Fitness Tracker,Sports,8,47151.69,25.3,281778.5,Credit Card,Bryan Williams
ORD-0000097,2024-11-26,Justin Mcgee,West Richard,Colorado,Tablet,Electronics,8,28889.11,5.61,218147.45,Mobile Pay,Marie Jackson
ORD-0000098,2024-03-11,Brad Benton,North Sydney,Indiana,Yoga Mat,Sports,7,31031.64,10.0,195499.33,Cash,Marie Jackson
ORD-0000099,2024-10-26,Kimberly Holland,Doughertyville,Texas,Olive Oil,Grocery,9,22719.76,14.84,174133.33,Credit Card,Rachel Allen DDS
ORD-0000100,2025-04-27,Tammy Wang,Richardland,Montana,Olive Oil,Grocery,1,31599.53,18.33,25807.34,Mobile Pay,Bryan Williams
